model,lit_sim_sense__R-P,lit_sim_sense__nDCG@10,lit_sim_sense__lit_R-P,lit_sim_sense__lit_nDCG,lit_sim_sense__idi_R-P,lit_sim_sense__idi_nDCG,lit_idiom__R-P,lit_idiom__nDCG@10,lit_idiom__lit_R-P,lit_idiom__lit_nDCG,lit_idiom__idi_R-P,lit_idiom__idi_nDCG
bm25,0.3263,0.4300,0.5843,0.7017,0.0682,0.1583,0.4267,0.5852,0.4509,0.6214,0.4025,0.5490
BAAI/bge-base-en-v1.5,0.1862,0.3275,0.2496,0.4349,0.1229,0.2201,0.2355,0.3809,0.2629,0.4472,0.2082,0.3146
BAAI/bge-m3,0.2046,0.3612,0.2486,0.4333,0.1606,0.2892,0.2675,0.4213,0.2627,0.4459,0.2724,0.3966
Qwen/Qwen3-Embedding-0.6B,0.1553,0.2815,0.1864,0.3339,0.1242,0.2291,0.1610,0.2724,0.1947,0.3441,0.1272,0.2007
Qwen/Qwen3-Embedding-4B,0.1980,0.3412,0.2277,0.3912,0.1683,0.2912,0.2034,0.3249,0.2390,0.4013,0.1678,0.2485
facebook/contriever,0.0864,0.1783,0.1164,0.2312,0.0564,0.1255,0.1121,0.2074,0.1250,0.2413,0.0991,0.1734
facebook/drama-1b,0.1819,0.3222,0.2070,0.3561,0.1568,0.2882,0.2177,0.3494,0.2143,0.3639,0.2212,0.3350
hkunlp/instructor-base,0.1837,0.3330,0.2402,0.4191,0.1273,0.2468,0.2180,0.3635,0.2446,0.4189,0.1915,0.3081
intfloat/e5-base-v2,0.1852,0.3312,0.2450,0.4206,0.1253,0.2417,0.2240,0.3649,0.2488,0.4217,0.1992,0.3082
intfloat/multilingual-e5-large-instruct,0.2429,0.4081,0.3011,0.4990,0.1847,0.3171,0.2816,0.4378,0.3059,0.5028,0.2573,0.3728
orionweller/tart-dual-contriever-msmarco,0.1116,0.2233,0.1530,0.2942,0.0701,0.1525,0.1396,0.2488,0.1611,0.3012,0.1181,0.1965
sentence-transformers/all-MiniLM-L6-v2,0.1607,0.2714,0.2574,0.4207,0.0639,0.1220,0.2258,0.3568,0.2586,0.4199,0.1929,0.2938
vec-ai/lychee-embed,0.1241,0.2483,0.1646,0.3229,0.0836,0.1737,0.1341,0.2493,0.1717,0.3309,0.0965,0.1678
