model,R-P,R-P,R-P,R-P,nDCG@10,nDCG@10,nDCG@10,nDCG@10
,overall,literal,idiomatic,by_subject,overall,literal,idiomatic,by_subject
BAAI/bge-base-en-v1.5,0.2001,0.2322,0.1679,0.0763,0.3820,0.4145,0.3494,0.7098
BAAI/bge-m3,0.2254,0.2319,0.2190,0.0717,0.4281,0.4177,0.4384,0.6857
Qwen/Qwen3-Embedding-0.6B,0.1566,0.1768,0.1363,0.0813,0.3035,0.3238,0.2832,0.7678
facebook/contriever,0.0960,0.1092,0.0828,0.0979,0.2156,0.2221,0.2091,0.8399
facebook/drama-1b,0.1968,0.1962,0.1974,0.0756,0.3712,0.3435,0.3988,0.7018
hkunlp/instructor-base,0.1976,0.2268,0.1684,0.0767,0.3867,0.4034,0.3699,0.7156
hkunlp/instructor-xl,0.2357,0.2706,0.2009,0.0778,0.4255,0.4492,0.4018,0.7198
intfloat/e5-base-v2,0.2000,0.2306,0.1695,0.0781,0.3854,0.4066,0.3642,0.7249
intfloat/multilingual-e5-large-instruct,0.2558,0.2825,0.2290,0.0698,0.4581,0.4827,0.4335,0.6808
nomic-ai/nomic-embed-text-v2-moe,0.1792,0.2227,0.1356,0.0799,0.3537,0.3978,0.3096,0.7360
orionweller/tart-dual-contriever-msmarco,0.1207,0.1433,0.0982,0.0914,0.2615,0.2839,0.2391,0.8103
sentence-transformers/all-MiniLM-L6-v2,0.1834,0.2357,0.1312,0.0766,0.3508,0.3989,0.3028,0.7048
vec-ai/lychee-embed,0.1246,0.1549,0.0944,0.0914,0.2709,0.3122,0.2295,0.8008
